Tick,V_uV
832,-37199
833,-37199
834,-37199
835,-37199
836,-37199
837,-37199
838,-37199
839,-37199
840,-37199
841,-37199
842,-37199
843,-37199
844,-37199
845,-37199
846,-37199
847,-37199
848,-37199
849,-37199
850,-37199
851,-37199
852,-37199
853,-37199
854,-37199
855,-37199
856,-37199
857,-37199
858,-37199
859,-37199
860,-37199
861,-37199
862,-37199
863,-37199
864,-37199
865,-37199
866,-37199
867,-37199
868,-37199
869,-37199
870,-37199
871,-37199
872,-37199
873,-37199
874,-37199
875,-37199
876,-37199
877,-37199
878,-37199
879,-37199
880,-37199
881,-37199
882,-37199
883,-37199
884,-37199
885,-37199
886,-37199
887,-37199
888,-37199
889,-37199
890,-37199
891,-37199
892,-37199
893,-37199
894,-37199
895,-37199
896,-37199
897,-37199
898,-37199
899,-37199
900,-37199
901,-37199
902,-37199
903,-37199
904,-37199
905,-37199
906,-37199
907,-37199
908,-37199
909,-37199
910,-37199
911,-37199
912,-37199
913,-37199
914,-37199
915,-37199
916,-37199
917,-37199
918,-37199
919,-37199
920,-37199
921,-37199
922,-37199
923,-37199
924,-37199
925,-37199
926,-37199
927,-37199
928,-37199
929,-37199
930,-37199
931,-37199
932,-37199
933,-37199
934,-37199
935,-37199
936,-37199
937,-37199
938,-37199
939,-37199
940,-37199
941,-37199
942,-37199
943,-37199
944,-37199
945,-37199
946,-37199
947,-37199
948,-37199
949,-37199
950,-37199
951,-37199
952,-37199
953,-37199
954,-37199
955,-37199
956,-37199
957,-37199
958,-37199
959,-37199
960,-37199
961,-37199
962,-37199
963,-37199
964,-37199
965,-37199
966,-37199
967,-37199
968,-37199
969,-37199
970,-37199
971,-37199
972,-37199
973,-37199
974,-37199
975,-37199
976,-37199
977,-37199
978,-37199
979,-37199
980,-37199
981,-37199
982,-37199
983,-37199
984,-37199
985,-37199
986,-37199
987,-37199
988,-37199
989,-37199
990,-37199
991,-37199
992,-37199
993,-37199
994,-37199
995,-37199
996,-37199
997,-37199
998,-37199
999,-37199
