Tick,V_uV
914,-47472
915,-47056
916,-46641
917,-46228
918,-45816
919,-45406
920,-44998
921,-44591
922,-44186
923,-43782
924,-43380
925,-42980
926,-42581
927,-42184
928,-41788
929,-41394
930,-41001
931,-40610
932,-40220
933,-39832
934,-39445
935,-39060
936,-38676
937,-73502
938,-73002
939,-72502
940,-72002
941,-71502
942,-71002
943,-70502
944,-70002
945,-69502
946,-69002
947,-68502
948,-68003
949,-67506
950,-67011
951,-66518
952,-66027
953,-65538
954,-65051
955,-64566
956,-64083
957,-63602
958,-63123
959,-62645
960,-62169
961,-61695
962,-61223
963,-60753
964,-60285
965,-59819
966,-59354
967,-58891
968,-58430
969,-57971
970,-57514
971,-57058
972,-56604
973,-56152
974,-55702
975,-55253
976,-54806
977,-54361
978,-53918
979,-53476
980,-53036
981,-52598
982,-52162
983,-51727
984,-51294
985,-50863
986,-50433
987,-50005
988,-49579
989,-49154
990,-48731
991,-48310
992,-47890
993,-47472
994,-47056
995,-46641
996,-46228
997,-45816
998,-45406
999,-44998
